,State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Date Local,Time Local,Date GMT,Time GMT,Sample Measurement,Units of Measure,MDL,Uncertainty,Qualifier,Method Type,Method Code,Method Name,State Name,County Name,Date of Last Change
193203,6,1,7,88101,3,37.687526,-121.784217,WGS84,PM2.5 - Local Conditions,2017-10-13,00:00,2017-10-13,08:00,26.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2018-01-18
193204,6,1,7,88101,3,37.687526,-121.784217,WGS84,PM2.5 - Local Conditions,2017-10-13,01:00,2017-10-13,09:00,24.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2018-01-18
193205,6,1,7,88101,3,37.687526,-121.784217,WGS84,PM2.5 - Local Conditions,2017-10-13,02:00,2017-10-13,10:00,31.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2018-01-18
193206,6,1,7,88101,3,37.687526,-121.784217,WGS84,PM2.5 - Local Conditions,2017-10-13,03:00,2017-10-13,11:00,38.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2018-01-18
193207,6,1,7,88101,3,37.687526,-121.784217,WGS84,PM2.5 - Local Conditions,2017-10-13,04:00,2017-10-13,12:00,51.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2018-01-18
193208,6,1,7,88101,3,37.687526,-121.784217,WGS84,PM2.5 - Local Conditions,2017-10-13,05:00,2017-10-13,13:00,48.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2018-01-18
193209,6,1,7,88101,3,37.687526,-121.784217,WGS84,PM2.5 - Local Conditions,2017-10-13,06:00,2017-10-13,14:00,48.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2018-01-18
193210,6,1,7,88101,3,37.687526,-121.784217,WGS84,PM2.5 - Local Conditions,2017-10-13,07:00,2017-10-13,15:00,52.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2018-01-18
193211,6,1,7,88101,3,37.687526,-121.784217,WGS84,PM2.5 - Local Conditions,2017-10-13,08:00,2017-10-13,16:00,40.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2018-01-18
193212,6,1,7,88101,3,37.687526,-121.784217,WGS84,PM2.5 - Local Conditions,2017-10-13,09:00,2017-10-13,17:00,12.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2018-01-18
193213,6,1,7,88101,3,37.687526,-121.784217,WGS84,PM2.5 - Local Conditions,2017-10-13,10:00,2017-10-13,18:00,14.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2018-01-18
193214,6,1,7,88101,3,37.687526,-121.784217,WGS84,PM2.5 - Local Conditions,2017-10-13,11:00,2017-10-13,19:00,13.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2018-01-18
193215,6,1,7,88101,3,37.687526,-121.784217,WGS84,PM2.5 - Local Conditions,2017-10-13,12:00,2017-10-13,20:00,13.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2018-01-18
193216,6,1,7,88101,3,37.687526,-121.784217,WGS84,PM2.5 - Local Conditions,2017-10-13,13:00,2017-10-13,21:00,12.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2018-01-18
193217,6,1,7,88101,3,37.687526,-121.784217,WGS84,PM2.5 - Local Conditions,2017-10-13,14:00,2017-10-13,22:00,8.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2018-01-18
193218,6,1,7,88101,3,37.687526,-121.784217,WGS84,PM2.5 - Local Conditions,2017-10-13,15:00,2017-10-13,23:00,5.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2018-01-18
193219,6,1,7,88101,3,37.687526,-121.784217,WGS84,PM2.5 - Local Conditions,2017-10-13,16:00,2017-10-14,00:00,7.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2018-01-18
193220,6,1,7,88101,3,37.687526,-121.784217,WGS84,PM2.5 - Local Conditions,2017-10-13,17:00,2017-10-14,01:00,8.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2018-01-18
193221,6,1,7,88101,3,37.687526,-121.784217,WGS84,PM2.5 - Local Conditions,2017-10-13,18:00,2017-10-14,02:00,9.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2018-01-18
193222,6,1,7,88101,3,37.687526,-121.784217,WGS84,PM2.5 - Local Conditions,2017-10-13,19:00,2017-10-14,03:00,29.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2018-01-18
193223,6,1,7,88101,3,37.687526,-121.784217,WGS84,PM2.5 - Local Conditions,2017-10-13,20:00,2017-10-14,04:00,17.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2018-01-18
193224,6,1,7,88101,3,37.687526,-121.784217,WGS84,PM2.5 - Local Conditions,2017-10-13,21:00,2017-10-14,05:00,15.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2018-01-18
193225,6,1,7,88101,3,37.687526,-121.784217,WGS84,PM2.5 - Local Conditions,2017-10-13,22:00,2017-10-14,06:00,13.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2018-01-18
193226,6,1,7,88101,3,37.687526,-121.784217,WGS84,PM2.5 - Local Conditions,2017-10-13,23:00,2017-10-14,07:00,12.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2018-01-18
