,State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change
5028,6,1,7,88101,1,37.687526,-121.784217,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,2007,Micrograms/cubic meter (LC),Events Excluded,89,100,Y,90,90,0,3,,,Certification not required,0,10.037078999999999,9.664607,54.9,2007-01-24 00:00,49.2,2007-02-05 00:00,39.2,2007-01-27 00:00,31.4,2007-11-29 00:00,,,,,49.2,39.2,24.3,17.0,9.4,6.4,3.0,Livermore,793 Rincon Ave.,California,Alameda,Livermore,"San Francisco-Oakland-Hayward, CA",2015-04-01
5029,6,1,7,88101,1,37.687526,-121.784217,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,2007,Micrograms/cubic meter (LC),Concurred Events Excluded,90,100,Y,90,90,1,3,,,Certification not required,0,10.05,9.61094,54.9,2007-01-24 00:00,49.2,2007-02-05 00:00,39.2,2007-01-27 00:00,31.4,2007-11-29 00:00,,,,,49.2,39.2,24.3,17.0,9.4,6.6000000000000005,3.0,Livermore,793 Rincon Ave.,California,Alameda,Livermore,"San Francisco-Oakland-Hayward, CA",2015-04-01
5030,6,1,7,88101,1,37.687526,-121.784217,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,2007,Micrograms/cubic meter (LC),Events Inclucded,90,100,Y,90,90,1,3,,,Certification not required,0,10.05,9.61094,54.9,2007-01-24 00:00,49.2,2007-02-05 00:00,39.2,2007-01-27 00:00,31.4,2007-11-29 00:00,,,,,49.2,39.2,24.3,17.0,9.4,6.6000000000000005,3.0,Livermore,793 Rincon Ave.,California,Alameda,Livermore,"San Francisco-Oakland-Hayward, CA",2015-04-01
5099,6,1,9,88101,1,37.743065,-122.16993500000001,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,2007,Micrograms/cubic meter (LC),No Events,20,17,N,20,121,0,3,,,Certification not required,0,10.445,5.974373,22.8,2007-12-14 00:00,22.3,2007-11-06 00:00,17.2,2007-11-29 00:00,15.8,2007-12-05 00:00,,,,,22.8,22.8,22.8,22.3,15.8,8.8,4.7,Oakland,9925 International Blvd,California,Alameda,Oakland,"San Francisco-Oakland-Hayward, CA",2015-04-01
5178,6,1,1001,88101,1,37.535833000000004,-121.961823,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,2007,Micrograms/cubic meter (LC),Events Excluded,90,100,Y,90,90,0,4,,,Certification not required,0,9.333333,8.453907000000001,51.2,2007-01-24 00:00,43.3,2007-02-05 00:00,33.3,2007-11-26 00:00,28.7,2007-01-27 00:00,,,,,43.3,33.3,22.8,15.8,9.9,6.8,3.0,Fremont - Chapel Way,"40733 CHAPEL WAY., FREMONT",California,Alameda,Fremont,"San Francisco-Oakland-Hayward, CA",2015-04-01
5179,6,1,1001,88101,1,37.535833000000004,-121.961823,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,2007,Micrograms/cubic meter (LC),Concurred Events Excluded,91,100,Y,90,90,1,4,,,Certification not required,0,9.36044,8.410784999999999,51.2,2007-01-24 00:00,43.3,2007-02-05 00:00,33.3,2007-11-26 00:00,28.7,2007-01-27 00:00,,,,,43.3,33.3,22.8,15.8,10.1,6.9,3.1,Fremont - Chapel Way,"40733 CHAPEL WAY., FREMONT",California,Alameda,Fremont,"San Francisco-Oakland-Hayward, CA",2015-04-01
5180,6,1,1001,88101,1,37.535833000000004,-121.961823,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,2007,Micrograms/cubic meter (LC),Events Inclucded,91,100,Y,90,90,1,4,,,Certification not required,0,9.36044,8.410784999999999,51.2,2007-01-24 00:00,43.3,2007-02-05 00:00,33.3,2007-11-26 00:00,28.7,2007-01-27 00:00,,,,,43.3,33.3,22.8,15.8,10.1,6.9,3.1,Fremont - Chapel Way,"40733 CHAPEL WAY., FREMONT",California,Alameda,Fremont,"San Francisco-Oakland-Hayward, CA",2015-04-01
5334,6,7,2,88101,1,39.757371,-121.843286,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2000 PM2.5 Sampler w/WINS - GRAVIMETRIC,2007,Micrograms/cubic meter (LC),No Events,60,100,Y,60,60,0,0,,,Certification not required,0,10.691667,11.226819,53.9,2007-12-14 00:00,53.0,2007-01-24 00:00,38.8,2007-11-26 00:00,36.0,2007-01-30 00:00,,,,,53.9,53.0,38.8,30.0,11.0,7.0,3.9,Chico-Manzanita Ave.,"468 MANZANITA AVE, CHICO",California,Butte,,"Chico, CA",2015-04-01
5421,6,9,1,88101,1,38.201852,-120.68156699999999,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2000 PM2.5 Sampler w/WINS - GRAVIMETRIC,2007,Micrograms/cubic meter (LC),No Events,58,92,Y,55,60,0,11,,,Certification not required,0,7.775861999999999,4.778031,24.4,2007-12-14 00:00,24.0,2007-01-26 00:00,21.0,2007-01-30 00:00,15.0,2007-01-28 00:00,,,,,24.4,24.0,21.0,12.9,9.2,6.0,4.0,San Andreas-Gold Strike Road,"501 GOLD STRIKE ROAD, SAN ANDREAS",California,Calaveras,San Andreas,,2015-04-01
5446,6,11,1002,88101,1,39.202935,-122.017728,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2025 PM2.5 Sequential w/WINS - GRAVIMETRIC,2007,Micrograms/cubic meter (LC),No Events,87,91,Y,82,90,0,12,,,Certification not required,0,6.586207000000001,5.384175,30.0,2007-01-27 00:00,28.0,2007-02-02 00:00,22.0,2007-11-26 00:00,18.0,2007-01-03 00:00,,,,,30.0,28.0,17.0,13.0,8.0,6.0,2.0,Colusa-Sunrise Blvd,"100 SUNRISE BLVD., COLUSA",California,Colusa,Colusa,,2015-05-20
