,State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change
1811,06,7,2,88101,1,39.757371,-121.843286,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2000 PM2.5 Sampler w/WINS - GRAVIMETRIC,1998,Micrograms/cubic meter (LC),No Events,3,5,N,3,61,0,0,,,Certification not required,0,48.0,26.664583,69.0,1998-12-31 00:00,57.0,1998-12-25 00:00,18.0,1998-12-19 00:00,,,,,,,69.0,69.0,69.0,69.0,69.0,57.0,18.0,Chico-Manzanita Ave.,"468 MANZANITA AVE, CHICO",California,Butte,,"Chico, CA",2014-06-11
1871,06,11,1002,88101,1,39.202935,-122.017728,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,1998,Micrograms/cubic meter (LC),No Events,3,2,N,3,122,0,2,,,Certification not required,0,17.333333,17.039171,37.0,1998-12-25 00:00,8.0,1998-12-16 00:00,7.0,1998-12-22 00:00,,,,,,,37.0,37.0,37.0,37.0,37.0,8.0,7.0,Colusa-Sunrise Blvd,"100 SUNRISE BLVD., COLUSA",California,Colusa,Colusa,,2014-06-11
6672,06,61,6,88101,1,38.745726,-121.26631200000001,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2000 PM2.5 Sampler w/WINS - GRAVIMETRIC,1998,Micrograms/cubic meter (LC),No Events,1,2,N,1,61,0,0,,,Certification not required,0,63.0,0.0,63.0,1998-12-31 00:00,,,,,,,,,,,63.0,63.0,63.0,63.0,63.0,63.0,63.0,Roseville-N Sunrise Ave," 151 NO SUNRISE BLVD, ROSEVILLE, CA",California,Placer,Roseville,"Sacramento--Roseville--Arden-Arcade, CA",2015-07-06
7467,06,67,10,88101,1,38.558228,-121.492981,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,1998,Micrograms/cubic meter (LC),No Events,7,2,N,7,365,0,0,,,Certification not required,0,56.0,29.698484999999998,96.0,1998-12-28 00:00,83.0,1998-12-25 00:00,69.0,1998-12-13 00:00,59.0,1998-12-31 00:00,,,,,96.0,96.0,96.0,96.0,83.0,59.0,14.0,Sacramento-1309 T Street,"1309 T ST., SACRAMENTO, CA. 95814",California,Sacramento,Sacramento,"Sacramento--Roseville--Arden-Arcade, CA",2014-06-11
10481,06,89,4,88101,1,40.549985,-122.382011,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2000 PM2.5 Sampler w/WINS - GRAVIMETRIC,1998,Micrograms/cubic meter (LC),No Events,3,5,N,3,61,0,0,,,Certification not required,0,31.333333000000003,20.132892000000002,50.0,1998-12-25 00:00,34.0,1998-12-31 00:00,10.0,1998-12-19 00:00,,,,,,,50.0,50.0,50.0,50.0,50.0,34.0,10.0,Redding - Health Department,"HLTH CTR-2630 BRESLAUER WAY, REDDING",California,Shasta,Redding,"Redding, CA",2015-07-24
11276,06,101,3,88101,1,39.138773,-121.618549,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2000 PM2.5 Sampler w/WINS - GRAVIMETRIC,1998,Micrograms/cubic meter (LC),No Events,3,5,N,3,61,0,0,,,Certification not required,0,44.333333,29.297326,66.0,1998-12-31 00:00,56.0,1998-12-25 00:00,11.0,1998-12-19 00:00,,,,,,,66.0,66.0,66.0,66.0,66.0,56.0,11.0,Yuba City,"773 ALMOND ST, YUBA CITY",California,Sutter,Yuba City,"Yuba City, CA",2014-06-11
11280,06,101,3,88101,2,39.138773,-121.618549,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2000 PM2.5 Sampler w/WINS - GRAVIMETRIC,1998,Micrograms/cubic meter (LC),No Events,3,5,N,3,61,0,0,,,Certification not required,0,45.0,30.265492,69.0,1998-12-31 00:00,55.0,1998-12-25 00:00,11.0,1998-12-19 00:00,,,,,,,69.0,69.0,69.0,69.0,69.0,55.0,11.0,Yuba City,"773 ALMOND ST, YUBA CITY",California,Sutter,Yuba City,"Yuba City, CA",2014-06-11
2569,06,1,7,88101,1,37.687526,-121.784217,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,1999,Micrograms/cubic meter (LC),No Events,8,7,N,8,121,0,3,,,Certification not required,0,31.5125,18.591891,63.1,1999-12-27 00:00,50.7,1999-12-05 00:00,40.9,1999-12-29 00:00,33.3,1999-12-23 00:00,,,,,63.1,63.1,63.1,63.1,50.7,33.3,14.9,Livermore,793 Rincon Ave.,California,Alameda,Livermore,"San Francisco-Oakland-Hayward, CA",2014-06-11
2666,06,1,1001,88101,1,37.535833000000004,-121.961823,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,1999,Micrograms/cubic meter (LC),No Events,76,84,N,76,90,0,14,,,Certification not required,0,15.242104999999999,9.71435,56.5,1999-10-21 00:00,45.2,1999-12-26 00:00,43.8,1999-10-19 00:00,38.5,1999-12-05 00:00,,,,,56.5,45.2,29.0,25.3,16.8,12.5,6.5,Fremont - Chapel Way,"40733 CHAPEL WAY., FREMONT",California,Alameda,Fremont,"San Francisco-Oakland-Hayward, CA",2014-06-11
2806,06,7,2,88101,1,39.757371,-121.843286,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2000 PM2.5 Sampler w/WINS - GRAVIMETRIC,1999,Micrograms/cubic meter (LC),Events Excluded,55,98,Y,59,60,0,4,,,Certification not required,0,15.854545000000002,14.032262,73.0,1999-12-26 00:00,52.0,1999-01-13 00:00,49.0,1999-11-26 00:00,47.0,1999-01-30 00:00,,,,,73.0,52.0,49.0,30.0,19.0,10.0,4.0,Chico-Manzanita Ave.,"468 MANZANITA AVE, CHICO",California,Butte,,"Chico, CA",2014-06-11
2807,06,7,2,88101,1,39.757371,-121.843286,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2000 PM2.5 Sampler w/WINS - GRAVIMETRIC,1999,Micrograms/cubic meter (LC),Events Inclucded,59,98,Y,59,60,4,4,,,Certification not required,0,17.508475,15.392982,73.0,1999-12-26 00:00,60.0,1999-08-28 00:00,52.0,1999-01-13 00:00,49.0,1999-09-09 00:00,,,,,73.0,60.0,52.0,47.0,22.0,12.0,5.0,Chico-Manzanita Ave.,"468 MANZANITA AVE, CHICO",California,Butte,,"Chico, CA",2014-06-11
2808,06,7,2,88101,1,39.757371,-121.843286,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2000 PM2.5 Sampler w/WINS - GRAVIMETRIC,1999,Micrograms/cubic meter (LC),Concurred Events Excluded,59,98,Y,59,60,4,4,,,Certification not required,0,17.508475,15.392982,73.0,1999-12-26 00:00,60.0,1999-08-28 00:00,52.0,1999-01-13 00:00,49.0,1999-09-09 00:00,,,,,73.0,60.0,52.0,47.0,22.0,12.0,5.0,Chico-Manzanita Ave.,"468 MANZANITA AVE, CHICO",California,Butte,,"Chico, CA",2014-06-11
