,State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change
4929,6,7,8,88101,1,39.761538,-121.84161999999999,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2014,Micrograms/cubic meter (LC),No Events,351,96,Y,351,365,0,14,,,Requested but not yet concurred,0,8.807407000000001,6.440604,58.6,2014-01-01 00:00,32.5,2014-01-06 00:00,32.1,2014-01-08 00:00,32.0,2014-01-03 00:00,,,,,32.0,26.0,22.1,15.9,10.7,7.1000000000000005,3.0,Chico-East Avenue,"984 East Avenue, Chico",California,Butte,Chico,"Chico, CA",2015-05-19
5043,6,11,1002,88101,1,39.202935,-122.017728,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2000 PM-2.5 Air Sampler w/VSCC - Gravimetric,2014,Micrograms/cubic meter (LC),No Events,59,95,Y,58,61,0,8,,,Requested but not yet concurred,0,7.1847460000000005,4.7557160000000005,20.3,2014-08-06 00:00,19.5,2014-01-29 00:00,17.8,2014-11-19 00:00,16.1,2014-01-17 00:00,,,,,20.3,19.5,17.8,15.3,9.3,7.5,2.4,Colusa-Sunrise Blvd,"100 SUNRISE BLVD., COLUSA",California,Colusa,Colusa,,2015-05-20
5649,6,19,11,88101,1,36.785322,-119.774174,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2014,Micrograms/cubic meter (LC),No Events,345,95,Y,345,365,0,20,,,Requested but not yet concurred,0,14.913913,15.341537,94.6,2014-01-01 00:00,82.0,2014-01-03 00:00,76.4,2014-01-04 00:00,75.10000000000002,2014-11-07 00:00,,,,,75.10000000000002,68.5,52.7,32.9,14.7,9.6,4.5,Fresno - Garland,"3727 N FIRST ST, FRESNO",California,Fresno,Fresno,"Fresno, CA",2015-05-20
5653,6,19,11,88101,2,36.785322,-119.774174,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2014,Micrograms/cubic meter (LC),Events Inclucded,61,98,Y,60,61,61,2,,,Certification not required,0,14.186885,15.444907,73.9,2014-11-07 00:00,70.9,2014-01-05 00:00,61.3,2014-01-17 00:00,56.1,2014-01-23 00:00,,,,,73.9,70.9,61.3,31.1,13.6,9.2,4.3,Fresno - Garland,"3727 N FIRST ST, FRESNO",California,Fresno,Fresno,"Fresno, CA",2015-08-10
5966,6,19,5001,88101,1,36.819111,-119.71735600000001,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2014,Micrograms/cubic meter (LC),No Events,109,87,N,106,122,0,25,,,Requested but not yet concurred,0,13.756881,13.038237,70.5,2014-11-07 00:00,59.3,2014-01-05 00:00,59.1,2014-01-02 00:00,56.6,2014-11-10 00:00,,,,,59.3,59.1,49.9,26.9,13.9,10.8,4.4,Clovis-Villa,"908 N VILLA AVE, CLOVIS",California,Fresno,Clovis,"Fresno, CA",2015-07-07
5984,6,19,5025,88101,1,36.72639,-119.73299999999999,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,Multiple Methods Used,2014,Micrograms/cubic meter (LC),No Events,115,94,Y,115,122,0,10,,,Requested but not yet concurred,0,13.830435000000001,14.213073000000001,74.5,2014-01-05 00:00,63.5,2014-01-20 00:00,61.8,2014-01-02 00:00,57.7,2014-01-17 00:00,,,,,63.5,61.8,53.5,30.7,13.9,9.0,3.5,Fresno-Pacific,"1716 WINERY, FRESNO CA 93726",California,Fresno,Fresno,"Fresno, CA",2015-05-14
6070,6,23,1004,88101,1,40.776944,-124.1775,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2000 PM2.5 Sampler w/WINS - GRAVIMETRIC,2014,Micrograms/cubic meter (LC),No Events,110,90,N,110,122,0,13,,,Requested but not yet concurred,0,5.570909,4.022764,21.2,2014-01-02 00:00,19.5,2014-12-31 00:00,17.900000000000006,2014-01-05 00:00,17.6,2014-01-14 00:00,,,,,19.5,17.900000000000006,13.6,11.6,6.9,4.8,1.8,Jacobs,717 SOUTH AVENUE,California,Humboldt,Eureka,"Eureka-Arcata-Fortuna, CA",2017-06-07
6089,6,23,1005,88101,2,40.71528,-124.20138999999999,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2000 PM2.5 Sampler w/WINS - GRAVIMETRIC,2014,Micrograms/cubic meter (LC),No Events,113,93,Y,113,122,0,5,,,Requested but not yet concurred,0,3.053097,1.902868,9.5,2014-09-05 00:00,8.0,2014-06-07 00:00,7.7,2014-06-04 00:00,7.4,2014-06-10 00:00,,,,,8.0,7.7,6.5,5.5,4.4,2.7,0.8,Humboldt Hill,"170 meters SE of Donna Dr. & Humboldt Hill Rd., Eureka, CA",California,Humboldt,,"Eureka-Arcata-Fortuna, CA",2016-05-03
6203,6,25,5,88101,1,32.676186,-115.484144,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2014,Micrograms/cubic meter (LC),No Events,343,94,Y,343,365,0,22,,,Requested but not yet concurred,0,13.672595000000001,7.95724,51.7,2014-12-29 00:00,50.3,2014-01-12 00:00,47.3,2014-01-11 00:00,44.8,2014-12-22 00:00,,,,,44.8,38.6,30.7,23.8,16.7,11.6,6.3,Calexico-Ethel Street,"1029 ETHEL ST, CALEXICO HIGH SCHOOL",California,Imperial,Calexico,"El Centro, CA",2015-10-08
6207,6,25,5,88101,2,32.676186,-115.484144,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2014,Micrograms/cubic meter (LC),No Events,42,91,Y,41,45,0,8,,,Requested but not yet concurred,0,13.642857000000001,8.598274,46.6,2014-01-11 00:00,39.7,2014-01-23 00:00,32.1,2014-02-16 00:00,23.5,2014-11-28 00:00,,,,,46.6,46.6,32.1,19.5,15.6,12.4,7.3,Calexico-Ethel Street,"1029 ETHEL ST, CALEXICO HIGH SCHOOL",California,Imperial,Calexico,"El Centro, CA",2015-10-08
