,country,year,elec,hdi,region,use
0,Albania,1990,61.0230786125242,0.6559999999999999,Europe & Central Asia,552.252184819181
1,Albania,2000,65.85879061664569,0.691,Europe & Central Asia,1449.64741324695
2,Albania,2002,66.7816107717465,0.703,Europe & Central Asia,1578.1659188268802
3,Albania,2004,,0.715,Europe & Central Asia,1797.5254869688501
4,Albania,2005,,0.721,Europe & Central Asia,1722.0728497250698
5,Albania,2006,,0.7240000000000001,Europe & Central Asia,1218.36014605619
6,Albania,2007,,0.7290000000000001,Europe & Central Asia,1213.12436932179
7,Albania,2008,,0.733,Europe & Central Asia,1617.7441562046
8,Albania,2009,,0.7340000000000001,Europe & Central Asia,1835.68407241763
9,Albania,2010,,0.7365,Europe & Central Asia,1943.3433538584202
10,Albania,2011,,0.7390000000000001,Europe & Central Asia,2205.70392004668
11,Algeria,1980,53.2995522992593,0.454,Middle East & North Africa,328.322141473282
12,Algeria,1990,67.375,0.551,Middle East & North Africa,528.434936105991
13,Algeria,2000,98.0,0.624,Middle East & North Africa,680.195974430198
14,Algeria,2002,98.5,0.6412,Middle East & North Africa,727.612643532377
15,Algeria,2004,98.1,0.6584,Middle East & North Africa,800.704307891519
16,Algeria,2005,98.5,0.667,Middle East & North Africa,886.914576373772
17,Algeria,2006,98.9,0.6729999999999999,Middle East & North Africa,858.934010580582
18,Algeria,2007,99.3,0.68,Middle East & North Africa,890.8143527145537
19,Algeria,2008,99.3,0.6859999999999999,Middle East & North Africa,943.7557433919528
20,Algeria,2009,99.3,0.691,Middle East & North Africa,863.085973626393
21,Algeria,2010,99.3,0.6945,Middle East & North Africa,1012.69083578198
22,Algeria,2011,,0.698,Middle East & North Africa,1118.50880991021
23,Angola,2000,12.0,0.384,Sub-Saharan Africa,75.05660874048199
24,Angola,2002,5.0,0.4084,Sub-Saharan Africa,85.7582712771421
25,Angola,2004,15.0,0.4328,Sub-Saharan Africa,87.0361877598497
26,Angola,2005,18.733333333333302,0.445,Sub-Saharan Africa,108.63037655155
27,Angola,2006,22.466666666666693,0.459,Sub-Saharan Africa,143.91188328687
28,Angola,2007,26.2,0.471,Sub-Saharan Africa,132.681280561997
29,Angola,2008,26.2,0.476,Sub-Saharan Africa,171.879581349135
30,Angola,2009,26.2,0.481,Sub-Saharan Africa,188.961667389593
31,Angola,2010,40.2,0.4835,Sub-Saharan Africa,206.34057808996
32,Angola,2011,,0.486,Sub-Saharan Africa,207.031258871036
33,Argentina,1980,79.40719818993891,0.669,Latin America & Caribbean,1234.3676883648
34,Argentina,1990,82.64113684564299,0.6970000000000001,Latin America & Caribbean,1299.55206792208
35,Argentina,2000,94.6,0.7490000000000001,Latin America & Caribbean,2078.28644020102
36,Argentina,2002,95.0,0.7554,Latin America & Caribbean,2003.4379035597601
37,Argentina,2004,95.4,0.7618,Latin America & Caribbean,2279.29182020484
38,Argentina,2005,96.0,0.765,Latin America & Caribbean,2392.89391410831
39,Argentina,2006,96.6,0.773,Latin America & Caribbean,2357.95291526127
40,Argentina,2007,97.2,0.78,Latin America & Caribbean,2438.08991413208
41,Argentina,2008,97.2,0.7859999999999999,Latin America & Caribbean,2752.09076907263
42,Argentina,2009,97.2,0.7879999999999999,Latin America & Caribbean,2708.936431355489
43,Argentina,2010,97.2,0.7925,Latin America & Caribbean,2847.256841779289
44,Armenia,2000,16.6170469240476,0.643,Europe & Central Asia,1297.5682730060198
45,Armenia,2002,0.44222788060187707,0.6614,Europe & Central Asia,1236.36366033521
46,Armenia,2004,,0.6798,Europe & Central Asia,1440.37283060922
47,Armenia,2005,,0.6890000000000001,Europe & Central Asia,1521.5048407401
48,Armenia,2006,,0.703,Europe & Central Asia,1639.68227142133
49,Armenia,2007,,0.715,Europe & Central Asia,1772.8948918806898
50,Armenia,2008,,0.7190000000000001,Europe & Central Asia,1669.06217548879
51,Armenia,2009,,0.7120000000000001,Europe & Central Asia,1661.0214554951501
52,Armenia,2010,,0.7140000000000001,Europe & Central Asia,1726.2645574287899
53,Armenia,2011,,0.716,Europe & Central Asia,1807.6347006048493
54,Australia,1980,100.0,0.85,East Asia & Pacific,5915.26000544514
55,Australia,1990,100.0,0.873,East Asia & Pacific,8527.228085390649
56,Australia,2000,100.0,0.906,East Asia & Pacific,10193.912180859399
57,Australia,2002,100.0,0.9108,East Asia & Pacific,10813.1227291694
58,Australia,2004,,0.9156,East Asia & Pacific,10554.8158232062
59,Australia,2005,,0.918,East Asia & Pacific,10458.4501931865
60,Australia,2006,,0.92,East Asia & Pacific,10490.48454191
61,Australia,2007,,0.922,East Asia & Pacific,10972.8917398068
62,Australia,2008,,0.924,East Asia & Pacific,10749.110554750301
63,Australia,2009,,0.926,East Asia & Pacific,10791.5930978208
64,Australia,2010,,0.9275,East Asia & Pacific,10726.9281831902
65,Austria,1980,100.0,0.74,Europe & Central Asia,4684.457759940379
66,Austria,1990,100.0,0.79,Europe & Central Asia,6111.4765201195705
67,Austria,2000,100.0,0.8390000000000001,Europe & Central Asia,7076.26948339438
68,Austria,2002,100.0,0.8474,Europe & Central Asia,7427.65644509121
69,Austria,2004,,0.8558,Europe & Central Asia,7808.157792139609
70,Austria,2005,,0.86,Europe & Central Asia,7977.681597417741
71,Austria,2006,,0.866,Europe & Central Asia,8244.40195190479
72,Austria,2007,,0.87,Europe & Central Asia,8207.474738975541
73,Austria,2008,,0.8759999999999999,Europe & Central Asia,8233.01483290985
74,Austria,2009,,0.879,Europe & Central Asia,7944.796096231678
75,Austria,2010,,0.882,Europe & Central Asia,8382.71115445338
76,Austria,2011,,0.885,Europe & Central Asia,8425.16775320399
77,Azerbaijan,2011,,0.731,Europe & Central Asia,1705.4246326370999
78,Bahrain,1980,92.8280847783346,0.6509999999999999,Middle East & North Africa,4612.54612546125
79,Bahrain,1990,95.17427238114807,0.721,Middle East & North Africa,15621.124712913701
80,Bahrain,2000,99.4,0.773,Middle East & North Africa,20014.6250304688
81,Bahrain,2002,99.9,0.7818,Middle East & North Africa,20016.3776545675
82,Bahrain,2004,99.0,0.7906,Middle East & North Africa,18982.9944760968
83,Bahrain,2005,99.1333333333333,0.795,Middle East & North Africa,21325.5537761143
84,Bahrain,2006,99.2666666666667,0.799,Middle East & North Africa,21508.4504191299
85,Bahrain,2007,99.4,0.804,Middle East & North Africa,20592.9002182662
86,Bahrain,2008,99.4,0.8059999999999999,Middle East & North Africa,18492.001543168302
87,Bahrain,2009,99.4,0.805,Middle East & North Africa,17460.332194402
88,Bahrain,2010,99.4,0.8055,Middle East & North Africa,18038.2669466871
89,Bahrain,2011,,0.8059999999999999,Middle East & North Africa,17910.9404984397
90,Bangladesh,1980,14.239776326586401,0.303,South Asia,18.6815261309381
91,Bangladesh,1990,16.5670317873788,0.35200000000000004,South Asia,48.366754704330795
92,Bangladesh,2000,20.4,0.422,South Asia,101.488629348181
93,Bangladesh,2002,26.3,0.438,South Asia,119.274673819858
94,Bangladesh,2004,32.0,0.454,South Asia,160.25336066937
95,Bangladesh,2005,35.0,0.462,South Asia,170.68125273611298
96,Bangladesh,2006,38.0,0.47,South Asia,190.915464451173
97,Bangladesh,2007,41.0,0.478,South Asia,199.83119249310002
98,Bangladesh,2008,41.0,0.484,South Asia,201.248857117908
99,Bangladesh,2009,41.0,0.491,South Asia,219.2420592116
100,Bangladesh,2010,46.5,0.4955,South Asia,239.83053150060687
101,Bangladesh,2011,,0.5,South Asia,257.634373156657
